Symbol,Description (EN),Name (HE),Type (HE),Exchange,Current,High,Low,Open,Previous Close,Timestamp,Previous Close (from last fetch),Change,Change %,usd-ils
OCGN,OCGN,אוקוג'ן,מניה,NASDAQ NMS - GLOBAL MARKET,1.66,1.69,1.39,1.39,1.39,23/09/2025 23:00:00,1.39,0.27,19.42,3.34508462
NNDM,NNDM,ננו דימנשן,מניה,NASDAQ NMS - GLOBAL MARKET,1.56,1.61,1.48,1.48,1.47,23/09/2025 23:00:00,1.47,0.09,6.12,3.34508462
SRE,SRE,SRE,מניה,"NEW YORK STOCK EXCHANGE, INC.",86.05,86.80,83.71,85.00,82.37,23/09/2025 23:00:00,82.37,3.68,4.47,3.34508462
TSM,TSM,TSMC,מניה,TAIWAN STOCK EXCHANGE,282.71,286.00,280.00,282.40,272.63,23/09/2025 23:00:00,272.63,10.08,3.7,3.34508462
TLRY,TLRY,טילריי,מניה,NASDAQ NMS - GLOBAL MARKET,1.24,1.30,1.18,1.19,1.20,23/09/2025 23:00:00,1.2,0.04,3.33,3.34508462
TEVA,TEVA,טבע,מניה,TEL AVIV STOCK EXCHANGE,19.45,19.89,18.80,18.92,18.87,23/09/2025 23:00:00,18.87,0.58,3.07,3.34508462
CSX,CSX,CSX,מניה,NASDAQ NMS - GLOBAL MARKET,34.07,34.32,33.30,33.35,33.20,23/09/2025 23:00:00,33.2,0.87,2.62,3.34508462
VG,VG,Vonage,מניה,"NEW YORK STOCK EXCHANGE, INC.",14.57,14.79,14.30,14.34,14.22,23/09/2025 23:00:00,14.22,0.35,2.46,3.34508462
ELTK,ELTK,אליטק,מניה,NASDAQ NMS - GLOBAL MARKET,10.71,10.73,10.57,10.59,10.47,23/09/2025 22:59:07,10.47,0.24,2.29,3.34508462
INTC,INTC,אינטל,מניה,NASDAQ NMS - GLOBAL MARKET,29.34,30.20,28.82,28.99,28.76,23/09/2025 23:00:00,28.76,0.58,2.02,3.34508462
BA,BA,בואינג,מניה,"NEW YORK STOCK EXCHANGE, INC.",216.34,219.82,214.01,217.12,212.09,23/09/2025 23:00:00,212.09,4.25,2,3.34508462
EXC,EXC,EXC,מניה,NASDAQ NMS - GLOBAL MARKET,44.23,44.28,43.24,43.24,43.40,23/09/2025 23:00:00,43.4,0.83,1.91,3.34508462
UNH,UNH,יונייטד הלת',מניה,"NEW YORK STOCK EXCHANGE, INC.",347.69,352.70,339.96,341.00,341.30,23/09/2025 23:00:00,341.3,6.39,1.87,3.34508462
PLTR,PLTR,פלטירום,מניה,NASDAQ NMS - GLOBAL MARKET,182.55,185.75,177.01,182.51,179.33,23/09/2025 23:00:00,179.33,3.22,1.8,3.34508462
XOM,XOM,אקסון מוביל,מניה,"NEW YORK STOCK EXCHANGE, INC.",113.95,114.75,112.48,112.72,112.02,23/09/2025 23:00:00,112.02,1.93,1.72,3.34508462
MMM,MMM,3M,מניה,"NEW YORK STOCK EXCHANGE, INC.",156.29,158.14,153.84,153.84,153.86,23/09/2025 23:00:00,153.86,2.43,1.58,3.34508462
PRNT,PRNT,The 3D Printing ETF,מניה,Unknown,23.65,23.83,23.22,23.22,23.29,23/09/2025 23:00:00,23.29,0.36,1.55,3.34508462
TTD,TTD,The Trade Desk,מניה,NASDAQ NMS - GLOBAL MARKET,46.86,47.59,45.88,46.21,46.15,23/09/2025 23:00:00,46.15,0.71,1.54,3.34508462
GE,GE,ג'נרל אלקטריק,מניה,"NEW YORK STOCK EXCHANGE, INC.",305.63,305.78,301.15,301.65,301.02,23/09/2025 23:00:00,301.02,4.61,1.53,3.34508462
GILT,GILT,גילט,מניה,NASDAQ NMS - GLOBAL MARKET,12.02,12.45,11.88,12.00,11.84,23/09/2025 23:00:00,11.84,0.18,1.52,3.34508462
