,מזהה כהונה,שם האישיות,ממשלה,תפקיד,מפלגה,קטגוריה,שנת התחלה,שנת סיום,שנים,שנת ממשלה,תארים,מקום1,מקום2,רמות תארים,תחום1,תחום2,34+,דרגה ביכרה בצה״ל
62,9.1,יאיר לפיד,34+,ראש הממשלה,יש עתיד,ראשות הממשלה,2022,2022.0,0.0,2022-2022,תואר שני ללא ראשון,אוניברסיטת בר-אילן ,0,1,פרשנות ותרבות,0,1.0,טוראי
65,30.1,יואב גלנט,34+,שר החינוך,הליכוד,חינוך,2022,2022.0,0.0,2022-2022,תואר ראשון,אוניברסיטת חיפה,0,1,כלכלה,ניהול,1.0,אלוף
67,55.1,יואב סגלוביץ',34+,סגן שר לביטחון פנים,יש עתיד,ביטחון פנים,2021,2022.0,1.0,2021-2022,0,0,0,0,0,0,1.0,קצין מודיעין
86,19.1,"ישראל כ""ץ",34+,שר החוץ,הליכוד,מדיני,2019,2020.0,1.0,2019-2020,0,0,0,0,0,0,1.0,סרן
87,20.1,"ישראל כ""ץ",34+,שר האוצר,הליכוד,כלכלי,2020,2021.0,1.0,2020-2021,0,0,0,0,0,0,1.0,סרן
94,36.1,מרב מיכאלי,34+,שרת התחבורה,העבודה,תשתיות,2021,2022.0,1.0,2021-2022,0,0,0,0,0,0,1.0,?
4,15.1,אביגדור ליברמן,34+,שר האוצר,ישראל ביתנו,כלכלי,2021,2022.0,1.0,2021-2022,תואר ראשון,אוניברסיטת ירושלים,0,1,ממשל,0,1.0,רב״ט
12,35.1,איילת שקד,34+,שרת הפנים,ימינה,פנים וחברה,2021,2022.0,1.0,2021-2022,"תואר ראשון, BSc, הוסמך",אוניברסיטת תל אביב,0,1,מדעי המחשב,הנדסת חשמל,1.0,סמל
14,52.1,אלון שוסטר,34+,סגן שר הביטחון,כחול לבן,ביטחון,2021,2022.0,1.0,2021-2022,תואר ראשון,אוניברסיטת בן-גוריון,0,1,מדעי המחשב,מתמטיקה,1.0,סגן אלוף
40,23.1,בצלאל סמוטריץ',34+,שר התחבורה,הציונות הדתית,תשתיות,2019,2020.0,1.0,2019-2020,תואר ראשון,אקדמית אונו,0,1,משפטים,0,1.0,סמ״ר (14 חודשים)
44,28.1,גדעון סער,34+,שר המשפטים,תקווה חדשה,משפט,2021,2022.0,1.0,2021-2022,תואר ראשון,אוניברסיטת תל אביב,0,1,משפטים,מדעי המדינה,1.0,סמ״ר
61,8.1,יאיר לפיד,34+,שר החוץ,יש עתיד,מדיני,2021,2022.0,1.0,2021-2022,תואר שני ללא ראשון,אוניברסיטת בר-אילן ,0,1,פרשנות ותרבות,0,1.0,טוראי
88,54.1,מאיר יצחק הלוי,34+,סגן שר החינוך,תקווה חדשה,חינוך,2021,2022.0,1.0,2021-2022,תואר ראשון,אוניברסיטת ירושלים,0,1,מדעי המדינה,ממשל,1.0,רב סרן
