country,release_year,language,budget,cast_numbers,genre_numbers,director_number,first_genre,month_name,day,mean,std,var,labels
United States of America,2010.0,en,165000000.0,5.0,5.0,1.0,Comedy,May,16.0,0.0271,0.0653,0.0043,22.0
"United Kingdom, United States of America",2010.0,en,160000000.0,5.0,3.0,1.0,Action,July,15.0,0.0272,0.0653,0.0043,9.0
"United Kingdom, United States of America",2010.0,en,250000000.0,5.0,2.0,1.0,Adventure,November,17.0,0.0279,0.065,0.0042,7.0
United States of America,2010.0,en,260000000.0,5.0,3.0,2.0,Animation,November,24.0,0.0287,0.0646,0.0042,20.0
United States of America,2010.0,en,165000000.0,5.0,4.0,2.0,Fantasy,March,18.0,0.0263,0.0657,0.0043,25.0
United States of America,2010.0,en,80000000.0,5.0,3.0,1.0,Drama,February,14.0,0.025,0.0661,0.0044,54.0
"China, Hong Kong, United States of America",2010.0,en,40000000.0,5.0,4.0,1.0,Action,June,10.0,0.0317,0.0632,0.004,6.0
United States of America,2010.0,en,200000000.0,5.0,3.0,1.0,Adventure,April,28.0,0.0276,0.0651,0.0042,27.0
United States of America,2010.0,en,80000000.0,5.0,1.0,1.0,Comedy,June,24.0,0.021,0.0675,0.0046,48.0
"France, Spain",2010.0,es,0.0,5.0,2.0,1.0,Drama,May,7.0,0.0243,0.0664,0.0044,2.0
United States of America,2010.0,en,69000000.0,5.0,3.0,2.0,Animation,July,8.0,0.0258,0.0658,0.0043,26.0
United States of America,2010.0,en,200000000.0,5.0,3.0,1.0,Animation,June,16.0,0.0235,0.0667,0.0044,29.0
United States of America,2010.0,en,68000000.0,5.0,4.0,1.0,Adventure,June,23.0,0.0301,0.064,0.0041,16.0
United States of America,2010.0,en,200000000.0,5.0,3.0,1.0,Family,March,3.0,0.0227,0.067,0.0045,30.0
Serbia,2010.0,sr,0.0,5.0,3.0,1.0,Crime,June,16.0,0.0303,0.0639,0.0041,8.0
United States of America,2010.0,en,3000000.0,5.0,4.0,1.0,Action,April,17.0,0.0303,0.0639,0.0041,13.0
United States of America,2010.0,en,40000000.0,5.0,1.0,1.0,Drama,October,1.0,0.032,0.0631,0.004,5.0
Spain,2010.0,es,0.0,5.0,2.0,1.0,Romance,December,3.0,0.0314,0.0633,0.004,10.0
United States of America,2010.0,en,95000000.0,5.0,3.0,1.0,Adventure,February,1.0,0.028,0.0649,0.0042,23.0
"United Kingdom, United States of America",2010.0,en,37000000.0,5.0,3.0,1.0,Crime,September,15.0,0.0272,0.0653,0.0043,2.0
United States of America,2010.0,en,40000000.0,5.0,3.0,1.0,Science Fiction,July,3.0,0.0212,0.0675,0.0046,44.0
United States of America,2010.0,en,130000000.0,5.0,5.0,1.0,Animation,October,28.0,0.0254,0.066,0.0044,33.0
"United Kingdom, United States of America",2010.0,en,155000000.0,5.0,3.0,1.0,Adventure,December,2.0,0.0264,0.0656,0.0043,5.0
"Bulgaria, United States of America",2010.0,en,80000000.0,5.0,3.0,1.0,Thriller,August,3.0,0.0287,0.0646,0.0042,14.0
United States of America,2010.0,en,125000000.0,5.0,3.0,1.0,Adventure,March,26.0,0.0295,0.0643,0.0041,21.0
United States of America,2010.0,en,13000000.0,5.0,3.0,1.0,Drama,December,3.0,0.0321,0.063,0.004,51.0
"United Kingdom, United States of America",2010.0,en,28000000.0,5.0,2.0,1.0,Action,March,26.0,0.0252,0.0661,0.0044,44.0
United States of America,2010.0,en,170000000.0,5.0,3.0,1.0,Adventure,December,14.0,0.0255,0.066,0.0044,13.0
Mexico,2010.0,es,0.0,5.0,5.0,1.0,Action,September,3.0,0.0223,0.0671,0.0045,26.0
"United Kingdom, France",2010.0,en,52000000.0,5.0,3.0,1.0,Action,February,4.0,0.0328,0.0626,0.0039,21.0
United States of America,2010.0,en,150000000.0,5.0,3.0,1.0,Action,June,30.0,0.0236,0.0667,0.0044,2.0
United States of America,2010.0,en,100000000.0,5.0,4.0,1.0,Action,August,6.0,0.0254,0.066,0.0044,40.0
