,year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,No. of FTE students,No. of students per staff,International students,Female:Male ratio,rank_prefix,land
0,2020,1,University of Oxford,95.4,90.5,99.6,98.4,65.5,96.4,"20,665",11.2,41%,46 : 54,,
1,2020,2,California Institute of Technology,94.5,92.1,97.2,97.9,88.0,82.5,"2,240",6.4,30%,34 : 66,,colombia
2,2020,3,University of Cambridge,94.4,91.4,98.7,95.8,59.3,95.0,"18,980",10.9,37%,47 : 53,,
3,2020,4,Stanford University,94.3,92.8,96.4,99.9,66.2,79.5,"16,135",7.3,23%,43 : 57,,
4,2020,5,Massachusetts Institute of Technology,93.6,90.5,92.4,99.5,86.9,89.0,"11,247",8.6,34%,39 : 61,,india
5,2020,6,Princeton University,93.2,90.3,96.3,98.8,58.6,81.1,"7,983",8.1,25%,45 : 55,,
6,2020,7,Harvard University,93.0,89.2,98.6,99.1,47.3,76.3,"20,823",9.2,24%,49 : 51,,
7,2020,8,Yale University,91.7,92.0,94.8,97.3,52.4,68.7,"12,402",5.4,20%,50 : 50,,
8,2020,9,The University of Chicago,90.2,89.1,91.4,96.7,52.7,76.0,"13,833",5.7,28%,46 : 54,,united states
9,2020,10,Imperial College London,89.8,84.5,87.6,97.0,69.9,97.1,"16,760",11.6,56%,38 : 62,,united kingdom
10,2020,11,University of Pennsylvania,89.6,87.5,90.4,98.2,74.0,65.0,"20,578",6.5,21%,52 : 48,,
11,2020,12,Johns Hopkins University,89.2,81.7,91.4,98.3,91.3,73.2,"16,171",4.5,26%,52 : 48,,
12,2020,13,"University of California, Berkeley",88.3,83.0,90.6,99.2,46.1,70.4,"41,081",13.7,17%,50 : 50,=,colombia
13,2020,13,ETH Zurich,88.3,81.8,92.8,90.3,56.8,98.2,"18,956",12.5,39%,32 : 68,=,switzerland
14,2020,15,UCL,87.1,77.8,88.7,96.1,42.7,96.2,"32,665",10.6,52%,57 : 43,,
15,2020,16,Columbia University,87.0,85.6,82.6,98.2,44.8,79.3,"26,586",5.8,37%,,,
16,2020,17,"University of California, Los Angeles",86.8,83.1,88.6,97.3,51.3,64.1,"41,066",9.4,17%,54 : 46,,colombia
17,2020,18,University of Toronto,85.5,76.6,89.5,93.6,50.5,84.7,"73,370",20.1,21%,59 : 41,,canada
18,2020,19,Cornell University,85.1,79.7,86.0,96.6,37.1,73.4,"22,319",9.8,25%,49 : 51,,
19,2020,20,Duke University,84.0,82.4,76.8,97.0,99.9,61.5,"15,309",4.3,19%,49 : 51,,
20,2020,21,University of Michigan-Ann Arbor,83.8,79.4,86.1,94.9,47.7,59.2,"42,982",8.3,17%,49 : 51,,sierra leone
21,2020,22,Northwestern University,83.5,74.2,83.8,97.8,78.4,64.1,"17,951",12.8,20%,49 : 51,,
22,2020,23,Tsinghua University,82.6,86.6,94.0,74.6,100.0,47.4,"38,783",12.0,11%,34 : 66,,china
23,2020,24,Peking University,82.3,89.1,90.0,73.2,86.6,59.6,"39,575",11.5,15%,46 : 54,,
24,2020,25,National University of Singapore,81.9,76.8,90.4,76.9,58.8,95.5,"30,869",17.9,28%,51 : 49,,singapore
25,2020,26,University of Washington,81.6,72.2,82.2,98.6,47.5,60.4,"45,692",11.1,16%,53 : 47,,
26,2020,27,Carnegie Mellon University,81.3,65.9,82.7,98.2,50.5,80.6,"13,430",13.6,48%,41 : 59,=,
27,2020,27,London School of Economics and Political Science,81.3,69.0,83.0,92.8,35.1,93.2,"10,570",12.1,71%,53 : 47,=,united kingdom
28,2020,29,New York University,81.1,76.8,77.5,96.5,38.7,65.4,"44,466",8.9,33%,57 : 43,,united states
