id,score,difficulty_label,difficulty_score,date,time,session_duration_sec,stage_reached,reached_boss,defeated_boss,outcome,enemies_killed,kills_by_bb,kills_by_trump,kills_by_enemy,boss_fight_duration_sec,trump_activations,b2_collected,arr_collected,halo_collected,antibombs_collected,energy_spheres_collected,ammo_pickups_collected,weapon_pickups_collected,damage_x_hits,total_lasers_fired,lives_lost
31,146939,easy,800,2026-03-12,23:52:10,0.0,11,True,True,victory,156,84,72,"{""Ismail-Haniyeh"": 5, ""Mohammed-Deif"": 12, ""Naeem-Qassem"": 14, ""Qasem-Soleimani"": 6, ""Recep-Erdoğan"": 11, ""Marwan-Isa"": 14, ""Abdul-Malik al-Houthi"": 19, ""Nasrallah"": 15, ""Muhammad Al-Amri"": 9, ""Khaled-Mashal"": 10, ""Mohammad-Ali-Jafari"": 15, ""Fouad-Shukr"": 13, ""Yahya-Sinwar"": 13}",43.6,23,12,18,13,19,19,0,0,0,527,64
16,136964,,,2026-03-11,23:33:32,0.0,11,True,True,victory,192,111,81,"{""Marwan-Isa"": 23, ""Mohammed-Deif"": 18, ""Qasem-Soleimani"": 21, ""Naeem-Qassem"": 14, ""Abdul-Malik al-Houthi"": 15, ""Muhammad Al-Amri"": 13, ""Nasrallah"": 18, ""Khaled-Mashal"": 12, ""Recep-Erdoğan"": 17, ""Mohammad-Ali-Jafari"": 6, ""Fouad-Shukr"": 11, ""Yahya-Sinwar"": 12, ""Ismail-Haniyeh"": 12}",101.5,19,15,16,11,26,17,0,0,0,379,17
5,134094,,,2026-03-09,18:44:53,0.0,11,True,True,victory,160,91,69,"{""Yahya-Sinwar"": 15, ""Naeem-Qassem"": 18, ""Nasrallah"": 14, ""Mohammad-Ali-Jafari"": 15, ""Mohammed-Deif"": 7, ""Abdul-Malik al-Houthi"": 12, ""Recep-Erdoğan"": 17, ""Ismail-Haniyeh"": 10, ""Muhammad Al-Amri"": 9, ""Fouad-Shukr"": 9, ""Marwan-Isa"": 11, ""Qasem-Soleimani"": 11, ""Khaled-Mashal"": 12}",80.5,14,8,13,3,12,12,0,0,0,253,1
28,133198,,,2026-03-12,00:42:37,0.0,11,True,True,victory,100,80,20,"{""Ismail-Haniyeh"": 11, ""Naeem-Qassem"": 9, ""Recep-Erdoğan"": 8, ""Fouad-Shukr"": 6, ""Nasrallah"": 7, ""Qasem-Soleimani"": 7, ""Mohammad-Ali-Jafari"": 10, ""Abdul-Malik al-Houthi"": 8, ""Khaled-Mashal"": 7, ""Yahya-Sinwar"": 8, ""Marwan-Isa"": 4, ""Muhammad Al-Amri"": 6, ""Mohammed-Deif"": 9}",72.0,22,15,20,17,17,26,0,0,0,499,50
13,129356,,,2026-03-10,23:43:56,0.0,11,True,True,victory,175,98,77,"{""Nasrallah"": 15, ""Khaled-Mashal"": 16, ""Qasem-Soleimani"": 14, ""Recep-Erdoğan"": 16, ""Yahya-Sinwar"": 18, ""Fouad-Shukr"": 9, ""Muhammad Al-Amri"": 11, ""Abdul-Malik al-Houthi"": 16, ""Naeem-Qassem"": 7, ""Mohammad-Ali-Jafari"": 16, ""Marwan-Isa"": 10, ""Ismail-Haniyeh"": 13, ""Mohammed-Deif"": 14}",86.3,19,12,15,9,19,13,0,0,0,407,37
10,127696,,,2026-03-09,23:22:12,0.0,11,True,True,victory,134,51,83,"{""Marwan-Isa"": 13, ""Yahya-Sinwar"": 11, ""Khaled-Mashal"": 11, ""Muhammad Al-Amri"": 11, ""Mohammad-Ali-Jafari"": 8, ""Recep-Erdoğan"": 7, ""Ismail-Haniyeh"": 7, ""Nasrallah"": 16, ""Abdul-Malik al-Houthi"": 12, ""Mohammed-Deif"": 11, ""Qasem-Soleimani"": 11, ""Naeem-Qassem"": 11, ""Fouad-Shukr"": 5}",97.3,18,12,10,6,14,12,0,0,0,259,1
23,123837,,,2026-03-12,00:09:09,0.0,11,True,True,victory,118,67,51,"{""Nasrallah"": 8, ""Ismail-Haniyeh"": 9, ""Muhammad Al-Amri"": 6, ""Recep-Erdoğan"": 11, ""Qasem-Soleimani"": 16, ""Abdul-Malik al-Houthi"": 11, ""Marwan-Isa"": 10, ""Mohammed-Deif"": 8, ""Yahya-Sinwar"": 11, ""Naeem-Qassem"": 10, ""Mohammad-Ali-Jafari"": 5, ""Khaled-Mashal"": 5, ""Fouad-Shukr"": 8}",50.0,19,11,13,7,20,18,0,0,0,302,9
3,123444,,,2026-03-09,18:01:26,0.0,11,True,True,victory,123,46,77,"{""Marwan-Isa"": 10, ""Naeem-Qassem"": 15, ""Mohammad-Ali-Jafari"": 9, ""Qasem-Soleimani"": 9, ""Muhammad Al-Amri"": 15, ""Abdul-Malik al-Houthi"": 5, ""Mohammed-Deif"": 10, ""Fouad-Shukr"": 5, ""Ismail-Haniyeh"": 9, ""Khaled-Mashal"": 9, ""Yahya-Sinwar"": 7, ""Nasrallah"": 11, ""Recep-Erdoğan"": 9}",71.4,14,9,12,5,14,13,0,0,0,312,14
15,114108,,,2026-03-11,23:13:09,0.0,11,True,False,game_over,208,107,101,"{""Marwan-Isa"": 13, ""Khaled-Mashal"": 17, ""Yahya-Sinwar"": 17, ""Muhammad Al-Amri"": 15, ""Mohammed-Deif"": 19, ""Fouad-Shukr"": 18, ""Naeem-Qassem"": 14, ""Ismail-Haniyeh"": 16, ""Mohammad-Ali-Jafari"": 19, ""Abdul-Malik al-Houthi"": 15, ""Qasem-Soleimani"": 15, ""Nasrallah"": 20, ""Recep-Erdoğan"": 10}",59.9,19,13,16,11,22,12,0,0,0,395,49
6,74310,,,2026-03-09,23:13:12,0.0,9,False,False,game_over,103,43,60,"{""Marwan-Isa"": 8, ""Qasem-Soleimani"": 9, ""Fouad-Shukr"": 6, ""Ismail-Haniyeh"": 10, ""Khaled-Mashal"": 11, ""Nasrallah"": 8, ""Yahya-Sinwar"": 5, ""Recep-Erdoğan"": 13, ""Muhammad Al-Amri"": 4, ""Naeem-Qassem"": 7, ""Abdul-Malik al-Houthi"": 8, ""Mohammed-Deif"": 10, ""Mohammad-Ali-Jafari"": 4}",0.0,13,9,9,5,14,13,0,0,0,137,52
