iter	Logloss
0	0.6880536277
1	0.683164557
2	0.6784491925
3	0.6738498785
4	0.6694108008
5	0.6653324087
6	0.6612811335
7	0.6571849871
8	0.6534504629
9	0.6493182933
10	0.6452725856
11	0.6413969503
12	0.6375107661
13	0.6338783104
14	0.6303324639
15	0.62675556
16	0.6233815611
17	0.6200768674
18	0.6167276572
19	0.613454001
20	0.6106539893
21	0.6078292055
22	0.604728315
23	0.6021136029
24	0.5991518619
25	0.5965201949
26	0.5936890182
27	0.5909112932
28	0.5882486782
29	0.5857039403
30	0.5832211245
31	0.5806838196
32	0.578311477
33	0.5759921742
34	0.5736187483
35	0.5712637434
36	0.5690157138
37	0.5668848189
38	0.5648011759
39	0.5627739451
40	0.5608587944
41	0.559035397
42	0.5573387082
43	0.5555905625
44	0.5536446059
45	0.5517092793
46	0.5499380349
47	0.5481021001
48	0.5462886532
49	0.5446064521
50	0.54295322
51	0.5414878667
52	0.5399221574
53	0.538518202
54	0.5370638056
55	0.5355826191
56	0.533995559
57	0.5324790363
58	0.5310971346
59	0.5297106096
60	0.5283747436
61	0.5269311709
62	0.5255628873
63	0.5243374662
64	0.5229970055
65	0.5220639836
66	0.5207714677
67	0.519611016
68	0.5184082754
69	0.5173028955
70	0.5163088185
71	0.5152482825
72	0.5141152216
73	0.5129801889
74	0.5118519994
75	0.5110609901
76	0.5099538041
77	0.5088975942
78	0.5080608946
79	0.5072438754
80	0.5063192465
81	0.5053586271
82	0.5044599099
83	0.5036167655
84	0.5027171023
85	0.5019149556
86	0.5010936179
87	0.5002231875
88	0.4993519655
89	0.498481536
90	0.4976371512
91	0.4969088054
92	0.4963934916
93	0.4956459025
94	0.494923054
95	0.4941613076
96	0.4934440673
97	0.4929826267
98	0.4922471309
99	0.4917046743
100	0.4910734856
101	0.4904748009
102	0.4898836266
103	0.4894995952
104	0.489053601
105	0.4884888352
106	0.4879749524
107	0.4874159776
108	0.4868659903
109	0.4862959268
110	0.4857006928
111	0.4851188891
112	0.4845380643
113	0.4840599835
114	0.4835417888
115	0.4830374387
116	0.4825394537
117	0.4821540172
118	0.4818666536
119	0.481391907
120	0.4808956723
121	0.4805002611
122	0.4800087437
123	0.4796275543
124	0.4792630951
125	0.47888175
126	0.4784883578
127	0.4780373989
128	0.477689206
129	0.4773342683
130	0.4769791838
131	0.4765660172
132	0.4762550555
133	0.4759087533
134	0.4755799351
135	0.4751813551
136	0.4748827407
137	0.4746458855
138	0.4743992241
139	0.4740252544
140	0.4737233599
141	0.4735467665
142	0.4732108804
143	0.4728998753
144	0.4726785511
145	0.4723602351
146	0.4720403636
147	0.4717419356
148	0.4714990831
149	0.4712833314
150	0.4710261217
151	0.4708257318
152	0.4705538768
153	0.4703657527
154	0.4700674011
155	0.469786208
156	0.4695231409
157	0.4692273667
158	0.4689970332
159	0.4687329864
160	0.4685212494
161	0.4683906684
162	0.4681764644
163	0.4679318718
164	0.4677403402
165	0.4676140873
166	0.4673771488
167	0.4671674325
168	0.4669529441
169	0.4667066316
170	0.4665466205
171	0.4663879771
172	0.4662130461
173	0.4660750603
174	0.4659021602
175	0.4657794347
176	0.4656508842
177	0.4655440859
178	0.4653682888
179	0.4652555177
180	0.4651674887
181	0.4649901627
182	0.4648754813
183	0.4647705595
184	0.4646237817
185	0.4645403135
186	0.4643488228
187	0.4642289422
188	0.4640353419
189	0.4639484587
190	0.4637780141
191	0.4636489518
192	0.4634754281
193	0.4633848522
194	0.4632330348
195	0.4630978774
196	0.4630139565
197	0.4629527603
198	0.4628329438
