iter	Passed	Remaining
0	53	10589
1	53	5282
2	53	3512
3	53	2627
4	54	2096
5	54	1741
6	54	1489
7	54	1300
8	54	1152
9	54	1035
10	55	940
11	55	859
12	55	791
13	55	733
14	55	682
15	55	637
16	55	598
17	56	563
18	56	532
19	56	504
20	56	478
21	56	454
22	56	434
23	56	414
24	57	396
25	57	380
26	57	365
27	57	351
28	57	338
29	57	325
30	57	313
31	58	303
32	58	292
33	58	283
34	58	274
35	58	265
36	58	257
37	59	250
38	59	242
39	59	235
40	59	228
41	59	222
42	59	216
43	59	210
44	59	205
45	60	199
46	60	194
47	60	190
48	60	185
49	60	181
50	60	176
51	61	172
52	61	168
53	61	164
54	61	160
55	61	157
56	61	153
57	61	150
58	62	147
59	62	143
60	62	140
61	62	138
62	62	135
63	62	132
64	62	129
65	63	127
66	63	124
67	63	122
68	63	119
69	63	117
70	63	114
71	63	112
72	64	110
73	64	108
74	64	106
75	64	104
76	64	102
77	65	100
78	65	98
79	65	96
80	65	95
81	65	93
82	65	91
83	65	90
84	65	88
85	66	86
86	66	85
87	66	83
88	66	82
89	66	80
90	66	79
91	67	77
92	67	76
93	67	75
94	67	73
95	67	72
96	67	71
97	67	70
98	68	68
99	68	67
100	68	66
101	68	65
102	68	63
103	68	62
104	68	61
105	68	60
106	69	59
107	69	58
108	69	57
109	69	56
110	69	55
111	69	54
112	69	53
113	70	52
114	70	51
115	70	50
116	70	49
117	70	48
118	70	47
119	70	46
120	70	45
121	71	44
122	71	44
123	71	43
124	71	42
125	71	41
126	71	40
127	71	39
128	72	39
129	72	38
130	72	37
131	72	36
132	72	36
133	72	35
134	72	34
135	73	33
136	73	33
137	73	32
138	73	31
139	73	30
140	73	30
141	73	29
142	73	28
143	74	28
144	74	27
145	74	26
146	74	26
147	74	25
148	74	25
149	74	24
150	74	23
151	75	23
152	75	22
153	75	22
154	75	21
155	75	20
156	75	20
157	75	19
158	76	19
159	76	18
160	76	18
161	76	17
162	76	16
163	76	16
164	76	15
165	77	15
166	77	14
167	77	14
168	77	13
169	77	13
170	77	12
171	77	12
172	78	11
173	78	11
174	78	10
175	78	10
176	78	9
177	78	9
178	78	8
179	78	8
180	79	7
181	79	7
182	79	6
183	79	6
184	79	6
185	79	5
186	79	5
187	79	4
188	80	4
189	80	3
190	80	3
191	80	2
192	80	2
193	80	2
194	80	1
195	81	1
196	81	0
197	81	0
198	81	0
