tenure_months,monthly_charges,total_charges,internet_service,contract_type,payment_method,support_tickets,customer_churn
52,77.03956015465259,4025.032346187158,DSL,One year,Electronic,4,No
15,77.5826652261366,1231.512274471364,Fiber,Month-to-month,Electronic,2,No
61,119.3919172803992,7469.124277595457,Fiber,One year,Electronic,1,No
21,39.78731907081217,440.5005379194164,Fiber,Two year,Electronic,1,No
24,50.283000456475186,1804.1290831194153,DSL,Two year,Mailed check,4,No
3,41.87932953330037,-435.0523304374913,No,Two year,Bank transfer,1,Yes
22,19.906624837947994,236.9123741765206,DSL,Month-to-month,Electronic,8,No
53,122.94060802788155,6777.984564299307,Fiber,One year,Mailed check,0,Yes
2,32.754963071526326,-189.08769409967925,Fiber,Month-to-month,Mailed check,1,Yes
30,45.51083772835463,1754.090752258111,Fiber,Month-to-month,Credit card,3,No
38,109.4729952484648,4847.906906033641,Fiber,One year,Credit card,1,Yes
2,17.40678859185354,541.0865777106255,DSL,Month-to-month,Credit card,3,Yes
64,92.69054707862144,4964.137356192461,DSL,One year,Electronic,2,No
60,27.609269639746678,1719.4796631944794,Fiber,Two year,Electronic,2,No
21,107.40084209588761,2769.7589893618356,Fiber,Month-to-month,Mailed check,1,Yes
33,4.903669388774247,-496.55333358147834,DSL,One year,Electronic,2,No
58,17.395917512480118,1370.7685093382843,Fiber,Month-to-month,Mailed check,0,No
22,53.65233295123274,1514.0817157467764,Fiber,Month-to-month,Bank transfer,1,Yes
49,99.15468070518206,4252.534408584788,Fiber,Month-to-month,Credit card,0,No
59,69.0712524809028,4492.320229243346,No,Two year,Credit card,5,No
42,59.92854781340287,2653.347904927888,DSL,Two year,Mailed check,4,No
60,110.38132622394151,6948.070467797125,DSL,Two year,Bank transfer,3,No
15,134.6571861529922,1536.701599412317,Fiber,Two year,Mailed check,1,Yes
62,90.16771853241316,5665.466607195308,Fiber,Month-to-month,Electronic,2,No
62,51.3143649069615,2329.0513471654513,Fiber,Month-to-month,Bank transfer,1,No
47,57.45570897972184,1561.9227182804013,No,One year,Electronic,4,No
62,31.346578607280257,2013.902086915251,No,Month-to-month,Mailed check,1,No
51,73.02452266762157,4274.549459429355,No,Month-to-month,Mailed check,0,No
55,21.112210420710184,1287.6399802716003,Fiber,Month-to-month,Bank transfer,3,No
64,86.55590965928502,5507.855186222168,Fiber,One year,Bank transfer,1,No
3,130.16722136919861,296.73460408015916,Fiber,One year,Mailed check,3,Yes
51,91.5277473937915,4196.632421361834,DSL,Month-to-month,Credit card,0,No
7,55.92556839415196,280.54852686141055,Fiber,Month-to-month,Electronic,2,Yes
21,85.80812237895371,2012.8128040902502,DSL,One year,Mailed check,2,No
39,118.61600335497631,4408.413014443762,No,One year,Bank transfer,1,Yes
18,117.11483905783416,2483.360529958903,Fiber,Month-to-month,Bank transfer,3,Yes
4,39.88726325309888,257.53656994469685,Fiber,One year,Credit card,3,Yes
60,85.3088916874697,5277.023210134886,DSL,Month-to-month,Electronic,1,No
14,65.25695529789404,1357.9287509459966,DSL,Month-to-month,Bank transfer,1,No
9,94.1977974374106,584.4024606092001,DSL,One year,Bank transfer,3,Yes
53,81.50841861450313,4649.636479662142,Fiber,One year,Credit card,1,No
2,-1.091642284533421,-195.42164319505392,DSL,Month-to-month,Electronic,0,Yes
60,59.55960741109483,3743.33368657511,Fiber,One year,Bank transfer,1,No
71,75.95675088688876,5070.043637650817,No,One year,Bank transfer,3,No
44,26.96905098523463,731.2863318179577,No,One year,Electronic,4,No
8,87.43066029597956,745.3776551920834,Fiber,One year,Mailed check,2,Yes
47,24.279542748189094,198.5384831543288,DSL,One year,Mailed check,0,No
35,46.04682857748839,1463.5052784576528,No,Month-to-month,Bank transfer,2,Yes
36,110.23935759100404,3165.4283704715554,No,Month-to-month,Credit card,1,Yes
50,43.48666633407194,2563.950333860401,DSL,Month-to-month,Bank transfer,3,No
4,87.21900877605026,873.9313331586582,Fiber,Month-to-month,Bank transfer,2,Yes
2,17.39278846273939,-397.1900337849242,DSL,One year,Mailed check,2,Yes
6,132.43943970295425,1008.7931194544736,No,One year,Electronic,2,Yes
54,60.86339084538228,3736.190962494389,No,Month-to-month,Electronic,0,No
4,72.85962420843157,742.673108084618,DSL,Month-to-month,Mailed check,3,Yes
54,75.37110389646895,4177.265027395144,No,Month-to-month,Mailed check,2,No
63,88.22700592994076,5925.453711367016,Fiber,Month-to-month,Electronic,0,No
18,24.42460051041469,114.97715322726731,No,One year,Mailed check,2,No
44,69.8399058749001,3114.5170913239444,Fiber,Month-to-month,Mailed check,2,Yes
34,50.2369352265593,1474.5040943076283,No,One year,Electronic,2,No
62,19.3132832176519,830.5295726017358,DSL,Two year,Mailed check,2,No
14,99.61366600386131,1412.623019788872,DSL,Month-to-month,Electronic,3,No
48,59.43481049201228,3026.636091695627,DSL,Month-to-month,Credit card,1,No
15,77.27561276837558,1740.8885755031272,No,Month-to-month,Credit card,2,No
62,75.39536256184178,4807.090242483634,No,One year,Bank transfer,2,No
40,59.9544318287166,2719.1425406294397,No,One year,Electronic,3,No
53,129.25082060892345,7176.935078897712,No,Month-to-month,Bank transfer,2,Yes
24,68.58206042112973,2989.7366329555934,DSL,One year,Credit card,4,No
26,23.261430469699967,-300.2190094240905,DSL,Two year,Bank transfer,2,No
60,57.98855919450046,3135.346618251439,DSL,Month-to-month,Electronic,1,Yes
41,84.99212860336331,4221.705298981936,DSL,Month-to-month,Bank transfer,1,No
29,85.97785328111652,2317.3512077256423,DSL,Two year,Credit card,0,No
15,37.36657194214715,1003.4001479330668,Fiber,One year,Bank transfer,2,No
45,97.88447522034309,4519.806146796857,DSL,Two year,Bank transfer,4,No
65,17.1139921338688,2165.010689305477,DSL,One year,Mailed check,1,No
71,104.32405607849255,6850.480768041114,DSL,Two year,Mailed check,0,Yes
9,30.41956332587783,884.6763461923072,DSL,Month-to-month,Electronic,2,Yes
1,63.212643429739714,938.0032960659892,No,One year,Bank transfer,0,Yes
8,101.937060340801,308.28704414240815,Fiber,Two year,Electronic,0,Yes
63,73.58817006661208,5027.489835987234,No,One year,Mailed check,3,No
11,94.5009555314071,556.7615179309503,Fiber,Month-to-month,Electronic,2,Yes
8,88.55985879129797,723.5596565979462,DSL,Month-to-month,Mailed check,3,Yes
35,108.58805840213803,3672.2880789837445,Fiber,Month-to-month,Electronic,1,Yes
35,101.86629552741135,2363.943376009554,DSL,Month-to-month,Bank transfer,1,Yes
33,56.387670743906746,2072.910264404872,DSL,Month-to-month,Bank transfer,2,No
5,88.98824901380395,516.6108288721352,DSL,One year,Electronic,4,Yes
41,24.203444149067607,1731.880696814652,DSL,One year,Electronic,3,No
28,68.26285277986645,2216.931705161032,DSL,Month-to-month,Electronic,1,No
7,94.55454203915619,1807.3237563134744,DSL,One year,Credit card,4,Yes
12,74.01542962738,941.706346567917,Fiber,Month-to-month,Mailed check,1,No
34,83.39919194551257,2782.8075001462735,DSL,Month-to-month,Mailed check,3,No
33,63.60182872102626,2006.6820224353185,DSL,Month-to-month,Electronic,1,Yes
48,103.87208312605428,4766.065634534718,No,One year,Bank transfer,1,No
23,67.58752678873022,450.6376579495104,DSL,Month-to-month,Credit card,2,No
62,56.036494527878396,3364.1653472244816,DSL,Month-to-month,Credit card,3,Yes
37,96.59552237707163,2540.1069647336544,No,Month-to-month,Bank transfer,1,No
44,27.845202329066204,1451.2055747717973,DSL,Two year,Electronic,3,No
35,85.03100030552035,2356.05486445792,DSL,Month-to-month,Electronic,2,No
65,38.72545377318584,2069.98818371287,Fiber,One year,Electronic,2,No
47,108.33780487714495,4757.171731809537,DSL,One year,Electronic,2,No
3,62.169182402596135,84.0400283011657,Fiber,One year,Electronic,0,Yes
1,74.04954162459066,77.48366909410915,No,Two year,Electronic,5,Yes
5,82.37711189932368,954.1253510331537,DSL,Month-to-month,Mailed check,2,Yes
14,12.10946211057528,-119.232577205723,Fiber,Month-to-month,Credit card,2,No
27,50.48245475329429,1603.0993464501305,Fiber,Two year,Bank transfer,0,No
9,101.30637727859661,2277.191012119153,DSL,Month-to-month,Credit card,4,Yes
15,96.03295072512665,1629.1696122585145,Fiber,One year,Bank transfer,1,No
42,78.49096616185649,3206.3756843321557,DSL,One year,Electronic,1,No
51,29.516092857234298,1115.7449097548006,Fiber,One year,Bank transfer,5,No
63,87.56510382575738,5419.43576831255,DSL,Two year,Electronic,0,No
52,91.40198770616337,4309.793188915792,Fiber,Two year,Bank transfer,2,No
4,71.41051639371236,419.9727789167357,DSL,One year,Mailed check,1,Yes
23,106.69512851774371,2505.760025227802,No,Month-to-month,Credit card,3,No
15,49.497046296096315,-338.65391601745193,DSL,Two year,Electronic,2,No
43,54.70427267500075,2343.0047221419986,Fiber,Month-to-month,Electronic,5,Yes
29,-4.538347372574435,406.4610825153479,Fiber,Month-to-month,Credit card,3,No
36,97.5948253044299,3313.8577848581017,Fiber,Two year,Electronic,2,No
13,79.41585890410403,705.9577795475712,Fiber,Month-to-month,Bank transfer,2,No
32,19.54539024600313,-63.397898686326016,Fiber,Month-to-month,Bank transfer,1,No
71,17.242030000175582,295.1881092002641,Fiber,Month-to-month,Credit card,0,No
59,43.821081178869676,3001.118423084938,No,Two year,Credit card,1,No
28,93.80973825941061,2535.9335064738993,DSL,One year,Credit card,3,No
66,60.98918535734114,4411.297014586226,Fiber,One year,Electronic,1,No
42,45.85639250019025,2691.6303572977254,No,Month-to-month,Credit card,1,No
45,39.81652320749512,2252.367386792453,No,One year,Bank transfer,0,No
62,38.472641265154394,2114.1175977201747,No,One year,Bank transfer,2,No
57,11.98965096677319,755.8439374348495,DSL,Month-to-month,Electronic,3,No
6,33.778125050608764,-104.71768227480658,DSL,Month-to-month,Bank transfer,4,Yes
28,37.88265760968498,706.570181770348,Fiber,Month-to-month,Credit card,2,No
28,90.47869709371439,2704.811099825315,Fiber,Two year,Credit card,3,No
44,65.02830840560155,2445.098628287382,Fiber,One year,Mailed check,3,No
30,45.23245470947617,252.39783173993465,Fiber,Two year,Electronic,2,No
62,139.29168266218562,8192.01037719182,No,Month-to-month,Mailed check,3,Yes
62,50.08309259360003,2951.7111664595154,DSL,One year,Credit card,0,No
1,105.01308743150908,865.7123363474702,No,One year,Bank transfer,2,Yes
27,118.63325673363147,2957.6292068723674,Fiber,One year,Mailed check,2,No
62,22.90118987027971,1675.8358174719795,DSL,Two year,Electronic,4,No
3,72.21888892220704,132.50254978558644,Fiber,Month-to-month,Mailed check,2,Yes
70,54.47399047275328,4426.381905027922,Fiber,Month-to-month,Mailed check,2,Yes
27,52.03226810321993,1983.4194315189172,DSL,One year,Credit card,2,No
9,86.66130450420724,1368.0392931578249,DSL,One year,Bank transfer,2,Yes
62,51.31388510730149,2314.469111944016,No,One year,Mailed check,1,No
37,55.12092861020588,2142.8363822001147,DSL,Month-to-month,Mailed check,2,No
51,64.9565531312412,3692.253509754275,Fiber,One year,Electronic,3,No
44,58.79802194870292,2777.882247037594,Fiber,Month-to-month,Credit card,1,No
24,34.792893789636246,1153.3276138621845,Fiber,Month-to-month,Mailed check,3,Yes
59,93.87719514542422,5567.930015722768,Fiber,One year,Mailed check,3,No
32,101.45592815522801,2874.1975976040326,DSL,One year,Mailed check,1,No
52,80.30855768605652,3327.4963071818124,Fiber,Month-to-month,Bank transfer,1,No
62,58.70342046933202,3316.8273547743474,DSL,Month-to-month,Bank transfer,4,Yes
58,48.843677910106564,4171.988255605377,Fiber,Month-to-month,Bank transfer,2,Yes
52,48.891398112206616,2299.527113789408,DSL,Month-to-month,Electronic,1,No
12,140.72129095098126,708.9603783664031,Fiber,One year,Mailed check,1,No
39,98.13514904699932,4193.595493197515,DSL,Two year,Electronic,0,No
2,44.79669764249985,517.323399626322,DSL,Month-to-month,Bank transfer,2,Yes
3,74.94093482311422,868.4849995454128,DSL,One year,Electronic,3,No
56,59.12394924701913,3546.430409686461,DSL,Two year,Bank transfer,2,No
59,87.51401128468872,5586.12742303011,No,Two year,Credit card,1,No
2,86.30497308368025,1092.718513588356,DSL,Month-to-month,Credit card,1,Yes
2,102.50828961716414,-167.72016679672942,No,Two year,Mailed check,4,Yes
54,44.483306240134134,1930.1731842553843,No,Month-to-month,Mailed check,1,No
1,73.14205895914391,-474.1512108173205,Fiber,Month-to-month,Electronic,1,Yes
19,17.543590451274213,200.4434253272185,DSL,Month-to-month,Bank transfer,3,Yes
2,32.27979098713466,781.2707918868534,DSL,Month-to-month,Credit card,1,Yes
53,96.52302509677538,5379.754514002213,Fiber,Month-to-month,Electronic,1,No
44,41.47948625784019,2069.4433716995773,DSL,Month-to-month,Mailed check,3,No
32,44.77273605856435,523.0735895416974,DSL,Month-to-month,Credit card,2,No
70,69.75165776349851,4536.022629826686,Fiber,Two year,Credit card,2,No
32,90.84283092539619,1989.1417731816596,No,Two year,Electronic,2,No
68,38.17519612497711,3181.5362311592153,Fiber,Month-to-month,Bank transfer,2,No
55,-34.42426486280252,-1100.5113210112718,DSL,Two year,Electronic,3,No
56,43.89330273569465,2847.808316819091,Fiber,Two year,Electronic,3,No
17,106.16884233858511,1311.4772968861744,DSL,One year,Credit card,5,Yes
38,80.29405153050621,3792.1852049671315,DSL,Month-to-month,Credit card,1,No
24,109.7162441136164,2506.5624037141883,No,One year,Bank transfer,3,Yes
69,36.04551573601913,1879.910945408989,DSL,Two year,Electronic,1,No
70,20.818111970078313,975.0657105996357,DSL,One year,Credit card,0,No
11,83.87645657942622,707.56270457777,DSL,Month-to-month,Mailed check,2,Yes
16,77.20068213055139,1260.0001743311755,No,One year,Mailed check,3,No
59,79.16662961131775,4590.15904124185,Fiber,One year,Mailed check,1,No
70,97.98989927951703,6152.958740480678,Fiber,One year,Electronic,4,No
3,82.6505477173678,854.6098477449244,Fiber,Month-to-month,Bank transfer,1,Yes
20,82.16852779421137,1568.067596165806,DSL,Month-to-month,Bank transfer,0,No
59,91.45021041403422,5038.685486292694,Fiber,Two year,Electronic,2,No
36,85.07249896561082,3617.7611437533715,DSL,Two year,Electronic,0,No
