age,annual_income,credit_score,years_employed,education_level,employment_type,requested_loan_amount
56,77447.55593094493,541,3,High School,Full-time,52658.39463736766
69,36444.278140132315,531,30,Bachelor,Full-time,71717.69396146426
46,73070.63744015737,583,27,Master,Unemployed,77495.07006928623
32,42499.78743260372,499,10,Bachelor,Part-time,45775.22178773071
60,36117.08092985012,378,0,Bachelor,Self-employed,32439.66687175999
25,52197.20146086498,472,37,Master,Full-time,80640.00627421566
78,56849.13836015029,766,23,Bachelor,Part-time,75013.01553381108
38,88230.59213018857,715,30,Master,Part-time,91913.79928229468
56,56390.75157737429,748,25,Bachelor,Part-time,74025.02230500402
75,53865.56123698772,386,4,Bachelor,Unemployed,26969.363283631614
36,81922.85887803268,400,19,Bachelor,Full-time,64579.155820478445
40,62021.07888423073,307,10,Master,Full-time,47000.850446542376
28,37114.49639664104,499,32,High School,Part-time,69394.68296442594
28,77119.40770616384,804,37,High School,Part-time,90588.01372307733
41,35207.62461141295,386,26,PhD,Full-time,54108.04023304151
70,37015.05443332581,342,33,High School,Full-time,50112.777529742336
53,33029.58601224173,684,14,Bachelor,Full-time,64957.381341943445
57,31275.099434440875,734,31,Bachelor,Full-time,71652.25691974183
41,56663.46589679649,707,20,Bachelor,Full-time,78626.05781633843
20,44841.95670912913,782,4,Bachelor,Part-time,61281.93523115947
39,-19563.384272731128,316,5,High School,Part-time,10428.032955500354
70,44634.73876100974,447,37,Bachelor,Full-time,67076.49687196419
19,39641.75488388732,576,21,Bachelor,Full-time,63444.37754709789
41,67856.5072859771,531,17,Bachelor,Full-time,59685.33199987777
61,38734.82777079274,665,13,High School,Full-time,58382.87154202886
47,100785.15582421786,527,9,Bachelor,Part-time,63171.40879323076
55,77935.87157540486,735,12,High School,Self-employed,63224.96940029328
19,42201.79217980444,698,30,High School,Full-time,66408.19755831905
77,72992.46157666165,510,29,High School,Part-time,77531.15971547148
38,60504.234253818955,690,2,High School,Self-employed,51843.48154449256
50,54669.315929604854,798,29,Master,Self-employed,82535.34569431079
29,66053.0451121486,839,5,High School,Full-time,70245.2327291135
75,51081.41748520973,790,28,PhD,Unemployed,88691.63662872514
39,54807.02312154955,741,7,PhD,Full-time,59129.38332965582
78,66467.0503255793,560,32,Bachelor,Full-time,78237.12156312447
61,91049.0548349098,649,16,High School,Full-time,78265.43161604236
42,55023.89944439348,651,10,Bachelor,Full-time,52272.49198482016
66,40924.06670055688,819,12,Master,Full-time,66342.98528390555
44,9415.382898120231,619,10,Bachelor,Full-time,46534.04472854684
76,89226.06943927275,437,30,High School,Full-time,82018.97187386997
59,44735.1657485608,849,27,Bachelor,Self-employed,73186.78621205591
45,60696.18580162534,667,5,Master,Self-employed,52752.0793914429
77,88118.14473853988,519,15,Master,Full-time,62994.12715744464
33,54552.04641860983,636,3,High School,Self-employed,51665.04869762901
32,46106.594762450404,522,34,Bachelor,Self-employed,76335.70132757504
79,78393.45955087489,659,25,High School,Part-time,88951.58990249237
79,59214.74135127838,628,11,High School,Full-time,57689.595003543145
64,61722.11209446801,762,10,Master,Part-time,64128.77113679434
79,19536.782590564784,681,36,High School,Self-employed,81659.39487156317
68,74118.3041448517,468,24,High School,Part-time,71118.37593610704
61,57511.76135983291,516,17,High School,Full-time,66391.78596388975
72,22568.21240553752,677,18,Master,Full-time,60064.103736710436
69,59701.8822322655,418,22,Master,Part-time,55024.98157611329
74,8749.486521765008,489,37,Bachelor,Full-time,57409.204182640475
20,96839.50405025991,669,17,Master,Full-time,71744.28996978332
54,27962.904000364786,448,25,High School,Full-time,59099.130373901804
68,82235.85531436872,787,5,Bachelor,Self-employed,74963.74070974566
24,33740.889037626934,673,3,Bachelor,Self-employed,56019.07741821998
38,61204.51421941439,459,28,High School,Full-time,73526.8809274405
26,31757.434867810025,650,33,Bachelor,Unemployed,80841.42334801794
56,69942.3044379564,587,16,PhD,Full-time,63432.60966811849
35,45293.62516185496,587,15,High School,Part-time,52156.00846483721
21,59355.590924154196,525,1,High School,Part-time,49307.07393933403
42,50301.28763157989,822,33,High School,Self-employed,91278.79005067097
77,22686.704270326885,821,7,High School,Self-employed,55393.233152802524
31,60082.13719381069,572,12,PhD,Full-time,60561.49856130815
67,39935.25028668504,701,7,Bachelor,Self-employed,55646.50249829654
75,70906.25586015222,482,29,Bachelor,Full-time,80790.96105731347
26,45282.80383698646,787,31,Master,Part-time,90409.76907518072
43,48464.72181943336,423,35,High School,Part-time,73410.51830753175
70,83658.52928745873,713,29,Bachelor,Part-time,93976.57314905226
19,97632.735890159,471,0,Bachelor,Full-time,55410.13352917158
37,65720.67911424165,587,38,Bachelor,Self-employed,84760.3550740994
45,44257.198051532294,734,16,PhD,Full-time,69759.9827900254
64,42506.77343287712,412,19,Master,Full-time,45379.55668556683
77,33626.4602936284,421,23,Bachelor,Part-time,59407.39584956794
24,37495.23632892887,843,21,Master,Full-time,68425.95619984849
61,44527.80512992063,521,28,High School,Self-employed,68837.35797294985
78,89285.059339898,338,21,High School,Full-time,60459.74800983861
25,46055.566582929525,796,8,High School,Full-time,64383.614890250996
64,25478.939916037947,532,36,Bachelor,Self-employed,70074.05584517185
52,50833.30534250766,829,9,Bachelor,Full-time,57726.21181193564
31,53562.56851522129,448,35,Bachelor,Full-time,75572.26870965878
34,50712.70919700912,696,36,PhD,Part-time,83124.20887493917
53,65993.82445170415,601,27,Bachelor,Full-time,81253.88093957808
67,51380.11022718067,659,27,Bachelor,Part-time,75370.66151182623
57,65374.54984294658,537,20,High School,Full-time,68439.46987982416
21,34393.1329188457,535,23,High School,Self-employed,55280.09510057765
19,85614.58876290446,502,39,Bachelor,Self-employed,86837.71547173453
79,55049.5957668717,555,1,Bachelor,Part-time,42971.68554955609
23,58004.379408140754,534,7,Master,Full-time,55384.82622365501
71,34309.76212373395,644,26,High School,Self-employed,76879.81407614762
59,59436.53982532792,833,21,High School,Part-time,76455.103188884
21,63021.30113340608,765,36,Bachelor,Part-time,98540.63106331023
71,26604.6313234982,840,26,High School,Full-time,65133.00230842095
46,16818.16823224687,512,28,High School,Self-employed,52674.50346421261
35,55873.32047218931,762,2,Master,Part-time,52068.10386072292
43,40224.60353088935,735,12,High School,Full-time,54054.83761206319
61,55198.42938271459,582,9,Bachelor,Full-time,46741.586865876474
51,24179.2785820377,762,35,High School,Self-employed,82418.7781353003
27,18789.881712346585,706,8,High School,Full-time,47866.626025064674
79,54133.78926002154,387,26,Bachelor,Unemployed,63487.16376603201
53,43004.32478086295,343,33,Master,Part-time,66503.66086486646
31,7786.009576996432,760,0,Bachelor,Part-time,41663.8878389616
48,76861.97636215459,577,31,Master,Full-time,86197.40878939824
65,23846.858636324854,720,24,High School,Full-time,66806.3961596861
32,101466.49904220864,652,28,Master,Self-employed,85104.98277113387
25,37519.66542222843,814,6,High School,Full-time,63244.97053077251
31,58031.21136251997,318,2,Bachelor,Part-time,32363.802744850356
40,82938.9802077437,322,19,Bachelor,Full-time,55303.71256851098
77,79588.6785565765,712,19,PhD,Full-time,77587.01418795096
74,89722.72812453765,329,29,Bachelor,Full-time,67802.76384087873
79,19538.475222392935,407,34,High School,Full-time,58124.390656770716
57,27282.690049855057,666,34,High School,Unemployed,77205.07662277385
38,54519.9454818806,580,38,Master,Full-time,85097.6923407948
33,66794.94875795428,427,26,Bachelor,Full-time,62899.33429525813
62,49775.45113240724,528,25,Master,Full-time,63894.10847497844
35,17240.119285732224,410,13,High School,Full-time,44043.70080957088
64,59931.56317929598,435,16,Bachelor,Full-time,58211.46954245849
70,46114.97223531931,661,17,High School,Self-employed,74259.8168673385
41,45875.22082088267,485,28,PhD,Full-time,71913.20711497244
